Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BSE","BSE LTD","Financials","Equity","11,978,013.39","0.04","11,978,013.39","484,533.00","24.72","India","National Stock Exchange Of India","INR"
"4938","PEGATRON CORP","Information Technology","Equity","11,978,744.25","0.04","11,978,744.25","5,317,000.00","2.25","Taiwan","Taiwan Stock Exchange","TWD"
"TORNTPHARM","TORRENT PHARMACEUTICALS LTD","Health Care","Equity","11,882,436.31","0.04","11,882,436.31","292,399.00","40.64","India","National Stock Exchange Of India","INR"
"9698","GDS HOLDINGS LTD CLASS A","Information Technology","Equity","11,828,232.80","0.04","11,828,232.80","2,794,420.00","4.23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"096770","SK INNOVATION LTD","Energy","Equity","11,816,840.90","0.04","11,816,840.90","164,339.00","71.91","Korea (South)","Korea Exchange (Stock Market)","KRW"
"267250","HD HYUNDAI LTD","Energy","Equity","11,815,189.67","0.04","11,815,189.67","119,916.00","98.53","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SRF","SRF LTD","Materials","Equity","11,801,139.68","0.04","11,801,139.68","359,195.00","32.85","India","National Stock Exchange Of India","INR"
"9863","ZHEJIANG LEAPMOTOR TECHNOLOGY LTD","Consumer Discretionary","Equity","11,778,239.54","0.04","11,778,239.54","1,429,200.00","8.24","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4958","ZHEN DING TECHNOLOGY HOLDING LTD","Information Technology","Equity","11,761,713.52","0.04","11,761,713.52","1,886,000.00","6.24","Taiwan","Taiwan Stock Exchange","TWD"
"601899","ZIJIN MINING GROUP LTD A","Materials","Equity","11,730,038.68","0.04","11,730,038.68","3,432,600.00","3.42","China","Shanghai Stock Exchange","CNY"
"LTIM","LTIMINDTREE LTD","Information Technology","Equity","11,726,139.56","0.04","11,726,139.56","199,011.00","58.92","India","National Stock Exchange Of India","INR"
"3888","KINGSOFT LTD","Communication","Equity","11,721,409.65","0.04","11,721,409.65","2,632,000.00","4.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OPAP","GREEK ORGANISATION OF FOOTBALL PRO","Consumer Discretionary","Equity","11,711,297.63","0.04","11,711,297.63","516,520.00","22.67","Greece","Athens Exchange S.A. Cash Market","EUR"
